Id,Category
1,4
2,4
3,0
4,6
5,5
6,6
7,0
8,3
9,6
10,4
11,0
12,1
13,4
14,2
15,6
16,9
17,0
18,1
19,7
20,6
21,8
22,6
23,6
24,3
25,4
26,4
27,0
28,4
29,4
30,2
31,9
32,8
33,1
34,9
35,4
36,4
37,1
38,9
39,3
40,2
41,1
42,0
43,0
44,1
45,6
46,6
47,8
48,5
49,1
50,5
51,8
52,8
53,0
54,9
55,5
56,4
57,1
58,0
59,7
60,6
61,1
62,9
63,8
64,9
65,2
66,5
67,6
68,6
69,3
70,6
71,8
72,8
73,0
74,1
75,1
76,0
77,7
78,4
79,9
80,9
81,1
82,8
83,6
84,0
85,1
86,6
87,9
88,2
89,5
90,8
91,9
92,0
93,0
94,7
95,9
96,4
97,9
98,8
99,8
100,7
101,8
102,1
103,0
104,4
105,6
106,7
107,1
108,1
109,2
110,8
111,6
112,9
113,3
114,3
115,8
116,1
117,2
118,9
119,8
120,6
121,9
122,2
123,1
124,2
125,4
126,7
127,4
128,5
129,1
130,4
131,1
132,9
133,0
134,8
135,9
136,1
137,4
138,3
139,6
140,9
141,5
142,1
143,9
144,3
145,9
146,0
147,5
148,3
149,2
150,7
151,0
152,9
153,6
154,7
155,8
156,1
157,3
158,5
159,6
160,6
161,0
162,8
163,2
164,3
165,3
166,2
167,4
168,9
169,2
170,4
171,5
172,5
173,5
174,5
175,7
176,3
177,5
178,4
179,1
180,4
181,8
182,0
183,7
184,5
185,5
186,5
187,0
188,9
189,1
190,7
191,3
192,2
193,9
194,8
195,5
196,6
197,1
198,4
199,7
200,2
201,6
202,3
203,7
204,9
205,0
206,1
207,2
208,8
209,4
210,6
211,3
212,0
213,7
214,2
215,6
216,1
217,5
218,9
219,1
220,6
221,4
222,4
223,9
224,4
225,4
226,4
227,4
228,7
229,9
230,0
231,9
232,3
233,2
234,6
235,8
236,7
237,3
238,6
239,4
240,3
241,9
242,8
243,5
244,7
245,3
246,6
247,1
248,0
249,3
250,4
251,2
252,6
253,3
254,8
255,9
256,8
257,9
258,6
259,3
260,0
261,5
262,0
263,2
264,3
265,3
266,8
267,9
268,4
269,2
270,7
271,8
272,5
273,7
274,8
275,4
276,8
277,9
278,3
279,2
280,4
281,1
282,0
283,5
284,7
285,5
286,0
287,9
288,8
289,1
290,6
291,9
292,3
293,4
294,6
295,2
296,5
297,2
298,6
299,6
300,5
301,1
302,9
303,0
304,6
305,3
306,3
307,5
308,1
309,8
310,7
311,3
312,6
313,9
314,9
315,1
316,0
317,8
318,7
319,6
320,3
321,5
322,7
323,7
324,1
325,8
326,4
327,7
328,9
329,4
330,8
331,1
332,3
333,0
334,8
335,0
336,6
337,2
338,3
339,2
340,3
341,0
342,4
343,2
344,3
345,5
346,4
347,7
348,8
349,1
350,0
351,9
352,7
353,9
354,1
355,0
356,0
357,2
358,1
359,7
360,0
361,1
362,9
363,2
364,2
365,3
366,8
367,2
368,0
369,1
370,2
371,3
372,4
